MINISTERE,DESC_MINISTERE,SECTION,DESC_SECTION,MNT_ALLOUE1617,MNT_AUTORISE1,MNT_AUTORISE2,MNT_AUTORISE3,MNT_AUTORISE4,MNT_AUTORISE5,MNT_AUTORISE6,MNT_AUTORISE7,MNT_AUTORISE8,MNT_AUTORISE9,MNT_AUTORISE10,MNT_AUTORISE11,MNT_AUTORISE12
1116,MINISTERE DE L'ENVIRONNEMENT,1116112,DIRECTION GENERALE DES SERVICES INTERNES," 345,510,343.50 "," 19,285,159.17 "," 17,485,940.60 "," 44,496,537.73 "," 21,615,362.77 "," 25,966,376.03 "," 24,406,665.82 "," 25,810,083.95 "," 24,389,857.16 "," 19,843,615.95 "," 33,755,244.56 "," 32,467,067.89 "," 55,777,268.79 "
1116 Total,,,," 453,021,162.97 "," 34,683,070.67 ",," 51,419,721.17 "," 28,502,800.77 "," 34,942,490.19 "," 26,163,719.15 "," 32,979,943.95 "," 28,943,961.92 "," 24,283,182.60 "," 42,481,622.30 "," 48,770,318.33 "," 68,065,112.13 "
1117,MINISTERE DU TOURISME,1117111,BUREAU DU MINISTRE," 29,118,138.51 "," 1,145,524.08 "," 3,184,601.92 "," 3,817,099.37 "," 2,327,763.80 "," 5,639,649.55 "," 1,410,242.52 "," 973,690.00 "," 1,397,043.76 "," 4,159,660.48 "," 1,437,600.00 "," 1,437,600.00 "," 1,949,210.44 "
1117,MINISTERE DU TOURISME,1117112,DIRECTION GENERALE DES SERVICES INTERNES," 127,530,130.37 "," 7,107,781.98 "," 10,855,506.64 "," 21,748,071.29 "," 8,517,293.18 "," 9,064,919.47 "," 13,678,336.05 "," 9,401,747.45 "," 9,092,707.10 "," 9,509,539.84 "," 11,241,759.30 "," 8,664,456.10 "," 8,628,309.44 "
1117,MINISTERE DU TOURISME,1117113,ECOLE HOTELIERE," 28,663,009.58 "," 785,233.33 "," 830,233.33 "," 6,690,721.23 "," 2,640,961.95 "," 867,900.00 "," 1,321,900.00 "," 3,623,600.00 "," 1,737,474.16 "," 2,094,256.39 "," 2,308,145.55 "," 1,282,066.66 "," 4,474,235.24 "
1117 Total,,,," 185,311,278.46 "," 9,038,539.39 ",," 32,255,891.89 "," 13,486,018.93 "," 15,572,469.02 "," 16,410,478.57 "," 13,999,037.45 "," 12,227,225.02 "," 15,763,456.71 "," 14,987,504.85 "," 11,384,122.76 "," 15,051,755.12 "
1211,MINISTERE DE LA JUSTICE,1211111,BUREAU DU MINISTRE," 40,145,955.20 "," 2,861,045.00 "," 1,587,451.67 "," 8,759,022.78 "," 2,329,485.01 "," 1,086,410.00 "," 4,510,693.47 "," 1,295,260.00 "," 1,592,889.34 "," 973,143.34 "," 4,244,148.00 "," 6,014,430.75 "," 4,090,090.00 "
1211,MINISTERE DE LA JUSTICE,1211112,DIRECTION GENERALE DES SERVICES INTERNES," 1,459,638,564.33 "," 103,597,527.64 "," 132,661,453.67 "," 226,672,995.49 "," 124,948,879.99 "," 86,782,244.20 "," 87,546,774.18 "," 86,742,550.92 "," 106,781,401.90 "," 109,144,149.30 "," 105,191,905.07 "," 83,793,091.66 "," 192,438,972.17 "
1211,MINISTERE DE LA JUSTICE,1211117,UNITE CENTRALE DE RENSEIGNEMENTS FINANCIERS," 54,209,374.40 "," 819,500.00 "," 7,582,119.60 "," 6,254,325.42 "," 3,116,539.76 "," 3,769,168.73 "," 5,787,400.42 "," 360,607.50 "," 8,019,458.99 "," 1,586,192.68 "," 3,902,114.21 "," 5,593,914.88 "," 7,286,807.94 "
1211,MINISTERE DE LA JUSTICE,1211118,BUREAU DU SECRETAIRE D'ETAT A LA SECURITE PUBLIQUE," 53,796,250.00 "," 2,071,452.50 "," 2,576,819.42 "," 9,118,010.18 "," 6,011,914.49 "," 2,886,453.26 "," 3,968,075.38 "," 5,431,653.30 "," 4,017,323.74 "," 1,096,440.24 "," 2,959,904.38 "," 7,111,380.49 "," 6,404,914.49 "
1211,MINISTERE DE LA JUSTICE,1211119,OFFICE NATIONAL D'IDENTIFICATION," 165,999,920.00 "," 12,486,531.11 "," 6,826,826.10 "," 40,615,550.08 "," 4,076,202.36 "," 5,484,558.73 "," 1,184,101.24 "," 41,626,320.50 "," 12,314,930.00 "," 9,658,569.50 "," 8,457,292.50 "," 12,719,061.62 "," 10,533,276.20 "
1211,MINISTERE DE LA JUSTICE,1211121,ECOLE DE LA MAGISTRATURE," 34,999,960.10 "," 1,363,829.86 "," 5,331,113.01 "," 2,406,163.23 "," 4,352,518.12 "," 1,742,629.86 "," 2,353,016.40 "," 1,096,940.00 "," 3,835,108.70 "," 3,605,340.00 "," 2,346,299.28 "," 4,846,897.98 "," 1,269,225.38 "
1211,MINISTERE DE LA JUSTICE,1211216,POLICE NATIONALE D'HAITI," 8,772,244,198.15 "," 516,702,116.81 "," 519,553,197.82 "," 1,216,104,320.51 "," 818,565,359.32 "," 582,778,928.80 "," 759,315,671.63 "," 756,798,015.47 "," 763,363,458.63 "," 506,531,759.25 "," 677,298,146.11 "," 650,045,033.19 "," 973,606,161.53 "
1211 Total,,,," 10,581,034,222.18 "," 639,902,002.92 ",," 1,509,930,387.69 "," 963,400,899.05 "," 684,530,393.58 "," 864,665,732.72 "," 893,351,347.69 "," 899,924,571.30 "," 632,595,594.31 "," 804,399,809.55 "," 770,123,810.57 "," 1,195,629,447.71 "
1212,MINISTERE DES HAITIENS VIVANT A L'ETRANGER,1212111,BUREAU DU MINISTRE," 33,273,794.94 "," 2,565,970.00 "," 1,998,077.47 "," 3,218,622.54 "," 584,315.45 "," 1,456,429.77 "," 1,596,660.00 "," 1,371,000.81 "," 1,270,516.66 "," 1,089,604.70 "," 2,946,398.47 "," 3,577,937.13 "," 11,562,107.98 "
1212,MINISTERE DES HAITIENS VIVANT A L'ETRANGER,1212112,DIRECTION GENERALE DES SERVICES INTERNES," 66,725,975.00 "," 4,128,908.31 "," 4,619,461.94 "," 8,319,255.88 "," 4,755,506.53 "," 4,570,333.42 "," 5,229,217.73 "," 4,200,461.35 "," 4,971,100.50 "," 4,341,443.33 "," 3,942,677.48 "," 5,016,979.71 "," 12,460,375.75 "
1212 Total,,,," 99,999,769.94 "," 6,694,878.31 ",," 11,537,878.42 "," 5,339,821.98 "," 6,026,763.19 "," 6,825,877.73 "," 5,571,462.16 "," 6,241,617.16 "," 5,431,048.03 "," 6,889,075.95 "," 8,594,916.84 "," 24,022,483.73 "
1213,MINISTERE DES AFFAIRES ETRANGERES,1213111,BUREAU DU MINISTRE," 116,831,549.90 "," 9,471,995.56 "," 10,023,685.00 "," 16,687,526.08 "," 8,654,432.00 "," 10,901,480.67 "," 8,590,597.87 "," 7,272,501.66 "," 8,288,080.00 "," 11,031,226.66 "," 7,570,749.98 "," 8,914,510.00 "," 9,424,710.00 "
